objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
4170,301 S LOMBARD AVE,,,William C. Presto,,,Marjorie Maddock,,,,1920-1929,1922,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,Also 201 Randolph St,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21757__ILLINOIS_COOK__(301-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21757__ILLINOIS_COOK__(301-S-Lombard-Ave).pdf,41.8835545,-87.7799161,Ridgeland - Oak Park
4171,402-408 S LOMBARD AVE,,,William G. Krieg,,,Frank F. Lunk,,,apartment/multi-unit complex,1920-1929,1922,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,Also 121-127 Washington Blvd,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21812__ILLINOIS_COOK__(402-408-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21812__ILLINOIS_COOK__(402-408-S-Lombard-Ave).pdf,41.88172,-87.77925,Ridgeland - Oak Park
4172,700 S LOMBARD AVE,Freeman Landon House,,J. J. Cerny,William R. Mole,,Freeman Landon,Colonial Revival,Prairie School,Colonial Revival,1920-1929,1922,documented,Village of Oak Park building permit archives.,,Yes,Yes,No,"Oak Park Historic Landmark, 2011",No,No,No,,,,See attached Historic Landmark nomination report,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14268__ILLINOIS_COOK__(700-S-Lombard-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14268__ILLINOIS_COOK__(700-S-Lombard-Ave).pdf,41.876178,-87.7790738,
4173,912 S LOMBARD AVE,,,Ernest Braucher,G. A. Carlson,,Michael W. Lloyd,,,foursquare,1920-1929,1921,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1351__ILLINOIS_COOK__(912-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1351__ILLINOIS_COOK__(912-S-Lombard-Ave).pdf,41.8721907,-87.7789564,
4174,913 S LOMBARD AVE,,,,John Duff,,William Cran,,,foursquare,1920-1929,1924,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1359__ILLINOIS_COOK__(913-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1359__ILLINOIS_COOK__(913-S-Lombard-Ave).pdf,41.87219,-87.779552,
4175,915 S LOMBARD AVE,,,,Wood Rhode & Company,,Wood Rhode & Company,,,foursquare,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1358__ILLINOIS_COOK__(915-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1358__ILLINOIS_COOK__(915-S-Lombard-Ave).pdf,41.872107,-87.7795437,
4176,916-918 S LOMBARD AVE,,,"Albert J. Buerger, Jr.",Huntington & Company,,Huntington & Company,,,apartment/multi-unit complex,1920-1929,1926,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1353__ILLINOIS_COOK__(916-918-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1353__ILLINOIS_COOK__(916-918-S-Lombard-Ave).pdf,41.8720274,-87.7789547,
4177,917 S LOMBARD AVE,,,Joseph Wrazek,William M. Grunswald,,Andrew Bitzer,Craftsman,,bungalow,1920-1929,1922,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1357__ILLINOIS_COOK__(917-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1357__ILLINOIS_COOK__(917-S-Lombard-Ave).pdf,41.872034,-87.7795407,
4178,919 S LOMBARD AVE,,,,Bert Carey,,Robert Smith,,,bungalow,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1356__ILLINOIS_COOK__(919-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1356__ILLINOIS_COOK__(919-S-Lombard-Ave).pdf,41.87193,-87.7795381,
4179,920 S LOMBARD AVE,,,,,,,,,foursquare,1920-1929,,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1354__ILLINOIS_COOK__(920-S-Lombard-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1354__ILLINOIS_COOK__(920-S-Lombard-Ave).pdf,41.871926,-87.778943,
4180,1015 LYMAN AVE,,,,William Cran,,William Cran,,,bungalow,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1489__ILLINOIS_COOK__(1015-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1489__ILLINOIS_COOK__(1015-Lyman-Ave).pdf,41.8701023,-87.7769526,
4181,1016 LYMAN AVE,,,Francis Leath,Francis Leath,,Mary Lamon,,,foursquare,1920-1929,1924,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2703__ILLINOIS_COOK__(1016-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2703__ILLINOIS_COOK__(1016-Lyman-Ave).pdf,41.8700705,-87.7765703,
4182,1017 LYMAN AVE,,,,William Cran,,William Cran,,,bungalow,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1490__ILLINOIS_COOK__(1017-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1490__ILLINOIS_COOK__(1017-Lyman-Ave).pdf,41.8700375,-87.7769449,
4183,1018 LYMAN AVE,,,Charles Lindberg,Charles Lindberg,,Theodore Knoak,,,bungalow,1920-1929,1922,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2704__ILLINOIS_COOK__(1018-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2704__ILLINOIS_COOK__(1018-Lyman-Ave).pdf,41.8699609,-87.7765553,
4184,1019 LYMAN AVE,,,Ernest Braucher,"Charles Barendt, Jr.",,A. J. Brock,,,bungalow,1920-1929,1921,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1492__ILLINOIS_COOK__(1019-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1492__ILLINOIS_COOK__(1019-Lyman-Ave).pdf,41.8699533,-87.7769386,
4185,1023 LYMAN AVE,,,,,,,,,Dutch Colonial Revival,1920-1929,,,,Contributing,No,No,No,,No,No,No,,,,Building permits on file for garage (1924) and porch (1928),,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1494__ILLINOIS_COOK__(1023-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1494__ILLINOIS_COOK__(1023-Lyman-Ave).pdf,41.8698201,-87.7769273,
4186,1030 LYMAN AVE,,,Ernest Braucher,Adam L. Todd,,Adam L. Todd,,,bungalow,1920-1929,1924,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2707__ILLINOIS_COOK__(1030-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2707__ILLINOIS_COOK__(1030-Lyman-Ave).pdf,41.8695564,-87.7765271,
4187,1033 LYMAN AVE,,,,Austin Cement Company,,J. J. Cavanaugh,,,foursquare,1920-1929,1924,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1497__ILLINOIS_COOK__(1033-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1497__ILLINOIS_COOK__(1033-Lyman-Ave).pdf,41.8694779,-87.7769171,
4188,1034 LYMAN AVE,,,,Adam L. Todd,,Wilfred L. La Fond,,,bungalow,1920-1929,1923,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,Duplicate of 1157 S. Scoville,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2789__ILLINOIS_COOK__(1034-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2789__ILLINOIS_COOK__(1034-Lyman-Ave).pdf,41.8694852,-87.7765264,
4189,1036 LYMAN AVE,,,Ernest Braucher,Otto Schultz,,W. A. Evans,Craftsman,,bungalow,1920-1929,1921,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2790__ILLINOIS_COOK__(1036-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2790__ILLINOIS_COOK__(1036-Lyman-Ave).pdf,41.8694149,-87.7765158,
4190,1037 LYMAN AVE,,,,Kasper Brens,,Kasper Brens,,,bungalow,1920-1929,1921,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1498__ILLINOIS_COOK__(1037-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1498__ILLINOIS_COOK__(1037-Lyman-Ave).pdf,41.869383,-87.7769221,
4191,1038 LYMAN AVE,,,W. A. Evans,Otto Schultz,,W. A. Evans,Craftsman,,bungalow,1920-1929,1922,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2791__ILLINOIS_COOK__(1038-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2791__ILLINOIS_COOK__(1038-Lyman-Ave).pdf,41.869332,-87.7765021,
4192,1039 LYMAN AVE,,,,Austin Cement Company,,J. J. Cavanaugh,,,foursquare,1920-1929,1925,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1499__ILLINOIS_COOK__(1039-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1499__ILLINOIS_COOK__(1039-Lyman-Ave).pdf,41.869275,-87.776923,
4193,1040 LYMAN AVE,,,,Adam L. Todd,,Louis B. Reagan,,,bungalow,1920-1929,1924,documented,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/2792__ILLINOIS_COOK__(1040-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/2792__ILLINOIS_COOK__(1040-Lyman-Ave).pdf,41.869231,-87.7765018,
4194,1041 LYMAN AVE,,,,Austin Cement Company,,J. J. Cavanaugh,,,foursquare,1920-1929,1924,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1500__ILLINOIS_COOK__(1041-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1500__ILLINOIS_COOK__(1041-Lyman-Ave).pdf,41.869207,-87.7769091,
4195,916 LYMAN AVE,,,John F. Fraser,Hugh Brown,,Miller & Hopkins,Craftsman,,foursquare,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1074__ILLINOIS_COOK__(916-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1074__ILLINOIS_COOK__(916-Lyman-Ave).pdf,41.872096,-87.7765243,
4196,920 LYMAN AVE,,,Ernest Braucher,Bert Carey,,Wililam G. Franke,,,bungalow,1920-1929,1922,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1076__ILLINOIS_COOK__(920-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1076__ILLINOIS_COOK__(920-Lyman-Ave).pdf,41.871947,-87.7765381,
4197,923 LYMAN AVE,,,H. B. Manson,Charles Howard,,H. B. Manson,,,foursquare,1920-1929,1925,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1082__ILLINOIS_COOK__(923-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1082__ILLINOIS_COOK__(923-Lyman-Ave).pdf,41.871884,-87.7770322,
4198,924 LYMAN AVE,,,Ernest Braucher,Bert Carey,,Wililam G. Franke,,,bungalow,1920-1929,1922,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1077__ILLINOIS_COOK__(924-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1077__ILLINOIS_COOK__(924-Lyman-Ave).pdf,41.871858,-87.7765426,
4199,926 LYMAN AVE,,,Ernest Braucher,Bert Carey,,Wililam G. Franke,Craftsman,,bungalow,1920-1929,1922,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1078__ILLINOIS_COOK__(926-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1078__ILLINOIS_COOK__(926-Lyman-Ave).pdf,41.871769,-87.7765365,
4200,918 LYMAN AVE,,,Hugh Brown,Hugh Brown,,Hugh Brown,,,foursquare,1920-1929,1923,,Village of Oak Park Building Permit Archive,Contributing,No,No,No,,No,No,No,,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/1075__ILLINOIS_COOK__(918-Lyman-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/1075__ILLINOIS_COOK__(918-Lyman-Ave).pdf,41.872027,-87.7765223,
4201,644 MADISON ST,Hill Motor Sales Company Building,,Eben E. Roberts,Harper and Butendorff,,Hill Motor Sales Company,Spanish Colonial Revival,,Automobile Showroom,1920-1929,1924,documented,Village of Oak Park building permit archives.,,Yes,No,No,,No,No,No,,"Historic association with the Oak Park Motor Row, Architecture, Commercial development patterns, architects Elmer E. Roberts and Elmer C. Roberts","Madison Street Corridor Plan, 2006","Demolished 2020 The building located at 644 Madison Street, known historically as the Hill Motor Sales Company, was built in 1924-1927. It is an example of an automobile showroom from the early 20th century. It was designed by prominent local architect Eben E. Roberts and his son Elmer C. Roberts and features details in the Spanish Colonial Revival style including terra cotta ornamentation. The Hill Motor Sales Company is representative of the large auto sales and service industry that occurred along Madison Street from around 1912 through the 1960s, known as Oak Parkâ€™s ""Auto Row."" From the early 1920s through the 1950s, Oak Park ranked behind only Chicagoâ€™s famed Motor Row on S. Michigan Avenue and Rockford as a top destination for buying cars in the greater Chicago area. The Hill Motor Sales Company building remained an automobile showroom until 2007.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14442__ILLINOIS_COOK__(644-Madison-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14442__ILLINOIS_COOK__(644-Madison-St).pdf,41.8801202,-87.7914479,
4202,314-316 N MAPLE AVE,,,"A. J. Buerger, Jr.",Milton Pillinger,,S. E. Murphy,,,,1920-1929,1927,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,314 N Maple Ave and 316 N Maple Ave,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23515__ILLINOIS_COOK__(314-316-N-Maple-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23515__ILLINOIS_COOK__(314-316-N-Maple-Ave).pdf,41.892515,-87.803607,Frank Lloyd Wright
4203,318-320 N MAPLE AVE,,,A. J. Buerger Jr.,Milton Pillinger,,Huntington & Company,,,apartment/multi-unit complex,1920-1929,1927,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21814__ILLINOIS_COOK__(318-320-N-Maple-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21814__ILLINOIS_COOK__(318-320-N-Maple-Ave).pdf,41.892645,-87.803611,Frank Lloyd Wright
4204,425 N MAPLE AVE,,,G. A. Hausen,R. Houston Jr.,,William E. Forrester,,,Three Flat,1920-1929,1924,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21824__ILLINOIS_COOK__(425-N-Maple-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21824__ILLINOIS_COOK__(425-N-Maple-Ave).pdf,41.8937846,-87.8042078,Frank Lloyd Wright
4205,112-122 S MAPLE AVE,,,Axel V. Teisen,H. C. Jensen,,Plotke and Grosby,Tudor Revival,,Courtyard apartment,1920-1929,1924,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16075__ILLINOIS_COOK__(112-122-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16075__ILLINOIS_COOK__(112-122-S-Maple-Ave).pdf,41.8860148,-87.8035921,Ridgeland - Oak Park
4206,200-224 S MAPLE AVE,Decker Building,Pleasant Maple Condominium Association,Leichenko and Esser,J. Peterson and Sons,,John E. Decker,Georgian Revival,,Courtyard apartment,1920-1929,1929,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16079__ILLINOIS_COOK__(200-224-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16079__ILLINOIS_COOK__(200-224-S-Maple-Ave).pdf,41.8849693,-87.8035822,Ridgeland - Oak Park
4207,230-238 S MAPLE AVE,Maple Manor,,William G. Carnegie,The Carnegie Company,,Maple Manor Building Corporation,Tudor Revival,,Courtyard apartment,1920-1929,1926,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16087__ILLINOIS_COOK__(230-238-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16087__ILLINOIS_COOK__(230-238-S-Maple-Ave).pdf,41.8840981,-87.8035384,Ridgeland - Oak Park
4208,240-246 S MAPLE AVE,,,Abraham L. Himmelblau,Milton W. Pillinger,,D. Lazar,Tudor Revival,,Courtyard apartment,1920-1929,1923,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16089__ILLINOIS_COOK__(240-246-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16089__ILLINOIS_COOK__(240-246-S-Maple-Ave).pdf,41.8838239,-87.8035452,Ridgeland - Oak Park
4209,245 S MAPLE AVE,,,O. Momberg,Lind and Erickson,,O. C. Sehnert,Tudor Revival,,apartment/multi-unit complex,1920-1929,1925,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16093__ILLINOIS_COOK__(245-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16093__ILLINOIS_COOK__(245-S-Maple-Ave).pdf,41.883713,-87.8043257,Ridgeland - Oak Park
4210,254-256 S MAPLE AVE,,,M. T. Bein,,,Joseph Ruffin,Tudor Revival,,apartment/multi-unit complex,1920-1929,1923,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,Also 1116-1128 Randolph Street,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16090__ILLINOIS_COOK__(254-256-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16090__ILLINOIS_COOK__(254-256-S-Maple-Ave).pdf,41.8834073,-87.8035488,Ridgeland - Oak Park
4211,312-314 S MAPLE AVE,,,George Pearson,Robert Houston,,F. C. Pilgrim and Company,Tudor Revival,,apartment/multi-unit complex,1920-1929,1924,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16096__ILLINOIS_COOK__(312-314-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16096__ILLINOIS_COOK__(312-314-S-Maple-Ave).pdf,41.882676,-87.8036131,Ridgeland - Oak Park
4212,316 S MAPLE AVE,,,F. W. Essery,F. W. Essery,,F. W. Essery,Flemish Renaissance Revival,,Two-Flat,1920-1929,1922,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16102__ILLINOIS_COOK__(316-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16102__ILLINOIS_COOK__(316-S-Maple-Ave).pdf,41.8825599,-87.8036105,Ridgeland - Oak Park
4213,324 S MAPLE AVE,,,Edward Steinborn,Fred Henberger,,Fred B. Keller,Colonial Revival,,apartment/multi-unit complex,1920-1929,1928,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16101__ILLINOIS_COOK__(324-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16101__ILLINOIS_COOK__(324-S-Maple-Ave).pdf,41.882237,-87.8034989,Ridgeland - Oak Park
4214,330 S MAPLE AVE,,,L. H. Vade,Bert P. Biggs,,J. R. Russell,Contemporary,,bungalow,1920-1929,1921,documented,Village of Oak Park building permit archives.,Non-Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,"Second floor added in 1965 by architects Smith & Stephens, builders Kosar Construction Company for owner J. Bernardi.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16107__ILLINOIS_COOK__(330-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16107__ILLINOIS_COOK__(330-S-Maple-Ave).pdf,41.882087,-87.8035958,Ridgeland - Oak Park
4215,336-344 S MAPLE AVE,,,Charles Kristen,E. Entin,,Leo J. Weinberg,Tudor Revival,,,1920-1929,1928,documented,Village of Oak Park building permit archives.,Non-Contributing,No,No,No,,No,No,No,,,,"Address also listed as 336 S. Maple, 1118 Washington, and 1118-1130 Washington",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/26717__ILLINOIS_COOK__(336-344-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/26717__ILLINOIS_COOK__(336-344-S-Maple-Ave).pdf,41.8819861,-87.8037563,Ridgeland - Oak Park
4216,400-408 S MAPLE AVE,,,Alexander Brandt,,,Leo J. Weinberg,,,,1920-1929,1927,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,Also 1119-1129 Washington Blvd,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23517__ILLINOIS_COOK__(400-408-S-Maple-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23517__ILLINOIS_COOK__(400-408-S-Maple-Ave).pdf,41.881094,-87.803478,Ridgeland - Oak Park
