geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,34244,965,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10284,819,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2542,502,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B03002,B03002_012,Total > Hispanic or Latino,3274,470,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_001,Total,35559,532,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_015,Total > Male > Bachelor's degree,5198,371,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_016,Total > Male > Master's degree,3608,340,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_017,Total > Male > Professional school degree,1443,227,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_018,Total > Male > Doctorate degree,945,174,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_032,Total > Female > Bachelor's degree,6340,442,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_033,Total > Female > Master's degree,4475,342,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_034,Total > Female > Professional school degree,1074,202,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,B15002_035,Total > Female > Doctorate degree,923,189,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B19013,B19013_001,Median household income in the past 12 months (in 2011 inflation-adjusted dollars),74141,3832,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25003,B25003_001,Total,21910,414,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25003,B25003_002,Total > Owner occupied,13817,423,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25003,B25003_003,Total > Renter occupied,8093,435,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_001,Total,24521,532,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_002,Total > Built 2005 or later,414,133,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_003,Total > Built 2000 to 2004,418,130,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_004,Total > Built 1990 to 1999,475,171,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_005,Total > Built 1980 to 1989,762,192,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_006,Total > Built 1970 to 1979,1489,264,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_007,Total > Built 1960 to 1969,1665,249,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_008,Total > Built 1950 to 1959,1670,236,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_009,Total > Built 1940 to 1949,1561,266,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,B25034_010,Total > Built 1939 or earlier,16067,643,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25064,B25064_001,Median gross rent,963,36,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25077,B25077_001,Median value (dollars),381100,11042,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",24006,850.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2011,2007-2011,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),16067,643,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B01002,B01002_001,Median age > Total,35.2,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B01003,B01003_001,Total,5182969,,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B03002,B03002_001,Total,5182969,,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2284565,985,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1275928,2448,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,318531,1666,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B03002,B03002_012,Total > Hispanic or Latino,1225143,,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_001,Total,3434122,121,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_015,Total > Male > Bachelor's degree,330237,3341,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_016,Total > Male > Master's degree,137838,2657,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_017,Total > Male > Professional school degree,55822,1518,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_018,Total > Male > Doctorate degree,24002,1088,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_032,Total > Female > Bachelor's degree,372358,3758,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_033,Total > Female > Master's degree,177891,2618,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_034,Total > Female > Professional school degree,39484,1180,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,B15002_035,Total > Female > Doctorate degree,19562,885,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B19013,B19013_001,Median household income in the past 12 months (in 2011 inflation-adjusted dollars),54598,302,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25003,B25003_001,Total,1934771,5009,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25003,B25003_002,Total > Owner occupied,1156652,6695,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25003,B25003_003,Total > Renter occupied,778119,5201,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_001,Total,2177518,910,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_002,Total > Built 2005 or later,61944,1648,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_003,Total > Built 2000 to 2004,96034,1982,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_004,Total > Built 1990 to 1999,124911,1942,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_005,Total > Built 1980 to 1989,145021,2415,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_006,Total > Built 1970 to 1979,259670,3109,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_007,Total > Built 1960 to 1969,284318,3409,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_008,Total > Built 1950 to 1959,347364,3364,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_009,Total > Built 1940 to 1949,179068,3250,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,B25034_010,Total > Built 1939 or earlier,679188,4979,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25035,B25035_001,Median year structure built,1957,1,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25064,B25064_001,Median gross rent,932,4,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25077,B25077_001,Median value (dollars),256900,1034,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",1157194,6697.9,data.census.gov
"Cook County, Illinois",05000US17031,2011,2007-2011,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),679188,4979,data.census.gov
Illinois,04000US17,2011,2007-2011,B01002,B01002_001,Median age > Total,36.4,0.1,data.census.gov
Illinois,04000US17,2011,2007-2011,B01003,B01003_001,Total,12790182,,data.census.gov
Illinois,04000US17,2011,2007-2011,B03002,B03002_001,Total,12790182,,data.census.gov
Illinois,04000US17,2011,2007-2011,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8177405,2195,data.census.gov
Illinois,04000US17,2011,2007-2011,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1835970,3935,data.census.gov
Illinois,04000US17,2011,2007-2011,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,578508,2085,data.census.gov
Illinois,04000US17,2011,2007-2011,B03002,B03002_012,Total > Hispanic or Latino,1987211,354,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_001,Total,8405202,1228,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_015,Total > Male > Bachelor's degree,769900,5458,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_016,Total > Male > Master's degree,315755,4200,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_017,Total > Male > Professional school degree,109261,2227,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_018,Total > Male > Doctorate degree,55916,1576,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_032,Total > Female > Bachelor's degree,834736,5808,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_033,Total > Female > Master's degree,385193,4056,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_034,Total > Female > Professional school degree,69746,1764,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,B15002_035,Total > Female > Doctorate degree,36149,1294,data.census.gov
Illinois,04000US17,2011,2007-2011,B19013,B19013_001,Median household income in the past 12 months (in 2011 inflation-adjusted dollars),56576,208,data.census.gov
Illinois,04000US17,2011,2007-2011,B25003,B25003_001,Total,4773002,11359,data.census.gov
Illinois,04000US17,2011,2007-2011,B25003,B25003_002,Total > Owner occupied,3279571,15516,data.census.gov
Illinois,04000US17,2011,2007-2011,B25003,B25003_003,Total > Renter occupied,1493431,8364,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_001,Total,5285389,1162,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_002,Total > Built 2005 or later,210849,2873,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_003,Total > Built 2000 to 2004,360867,3563,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_004,Total > Built 1990 to 1999,558624,4274,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_005,Total > Built 1980 to 1989,465256,3874,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_006,Total > Built 1970 to 1979,767519,4826,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_007,Total > Built 1960 to 1969,631032,4660,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_008,Total > Built 1950 to 1959,705714,5182,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_009,Total > Built 1940 to 1949,365944,3916,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,B25034_010,Total > Built 1939 or earlier,1219584,6749,data.census.gov
Illinois,04000US17,2011,2007-2011,B25035,B25035_001,Median year structure built,1966,1,data.census.gov
Illinois,04000US17,2011,2007-2011,B25064,B25064_001,Median gross rent,860,3,data.census.gov
Illinois,04000US17,2011,2007-2011,B25077,B25077_001,Median value (dollars),198500,533,data.census.gov
Illinois,04000US17,2011,2007-2011,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",2576656,10480.6,data.census.gov
Illinois,04000US17,2011,2007-2011,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1219584,6749,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B01002,B01002_001,Median age > Total,38.5,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B01003,B01003_001,Total,51781,51,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B03002,B03002_001,Total,51781,51,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,33615,929,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10779,864,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2713,494,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B03002,B03002_012,Total > Hispanic or Latino,3174,530,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,B15003_001,Total,35739,510,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,B15003_022,Total > Bachelor's degree,11406,595,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,B15003_023,Total > Master's degree,8048,499,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,B15003_024,Total > Professional school degree,2740,347,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,B15003_025,Total > Doctorate degree,1824,251,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B19013,B19013_001,Median household income in the past 12 months (in 2012 inflation-adjusted dollars),75118,5190,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25003,B25003_001,Total,21750,448,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25003,B25003_002,Total > Owner occupied,13539,385,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25003,B25003_003,Total > Renter occupied,8211,477,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_001,Total,24283,589,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_002,Total > Built 2010 or later,0,27,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_003,Total > Built 2000 to 2009,853,184,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_004,Total > Built 1990 to 1999,483,152,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_005,Total > Built 1980 to 1989,684,176,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,B25034_006,Total > Built 1970 to 1979,1556,254,data.census.gov
